tile_id,territory_id,territory_desc,location_x,location_y,class,class_name,resource_type,resource_desc
1,1,Not Used,0,0,0,Not Used,0,None
2,1,Not Used,1,0,0,Not Used,0,None
3,1,Not Used,2,0,0,Not Used,0,None
4,1,Not Used,3,0,0,Not Used,0,None
5,1,Not Used,4,0,0,Not Used,0,None
6,1,Not Used,5,0,0,Not Used,0,None
7,1,Not Used,0,1,0,Not Used,0,None
8,1,Not Used,1,1,0,Not Used,0,None
9,1,Not Used,2,1,0,Not Used,0,None
10,1,Not Used,3,1,0,Not Used,0,None
11,1,Not Used,4,1,0,Not Used,0,None
12,1,Not Used,5,1,0,Not Used,0,None
13,1,Not Used,0,2,0,Not Used,0,None
14,1,Not Used,1,2,0,Not Used,0,None
15,1,Not Used,2,2,0,Not Used,0,None
16,1,Not Used,3,2,0,Not Used,0,None
17,1,Not Used,4,2,0,Not Used,0,None
18,1,Not Used,5,2,0,Not Used,0,None
19,1,Not Used,0,3,0,Not Used,0,None
20,1,Not Used,1,3,0,Not Used,0,None
21,1,Not Used,2,3,0,Not Used,0,None
22,1,Not Used,3,3,0,Not Used,0,None
23,1,Not Used,4,3,0,Not Used,0,None
24,1,Not Used,5,3,0,Not Used,0,None
25,1,Not Used,0,4,0,Not Used,0,None
26,1,Not Used,1,4,0,Not Used,0,None
27,1,Not Used,2,4,0,Not Used,0,None
28,1,Not Used,3,4,0,Not Used,0,None
29,1,Not Used,4,4,0,Not Used,0,None
30,1,Not Used,5,4,0,Not Used,0,None
31,1,Not Used,0,5,0,Not Used,0,None
32,1,Not Used,1,5,0,Not Used,0,None
33,1,Not Used,2,5,0,Not Used,0,None
34,1,Not Used,3,5,0,Not Used,0,None
35,1,Not Used,4,5,0,Not Used,0,None
36,1,Not Used,5,5,0,Not Used,0,None
37,2,일반 영토지역,0,0,1,일반 토지,0,None
38,2,일반 영토지역,1,0,2,자원 토지,1,철
39,2,일반 영토지역,2,0,2,자원 토지,2,구리
40,2,일반 영토지역,3,0,1,일반 토지,0,None
41,2,일반 영토지역,4,0,1,일반 토지,0,None
42,2,일반 영토지역,5,0,1,일반 토지,0,None
43,2,일반 영토지역,0,1,2,자원 토지,3,석탄
44,2,일반 영토지역,1,1,1,일반 토지,0,None
45,2,일반 영토지역,2,1,1,일반 토지,0,None
46,2,일반 영토지역,3,1,2,자원 토지,4,석재
47,2,일반 영토지역,4,1,1,일반 토지,0,None
48,2,일반 영토지역,5,1,2,자원 토지,5,나무
49,2,일반 영토지역,0,2,1,일반 토지,0,None
50,2,일반 영토지역,1,2,1,일반 토지,0,None
51,2,일반 영토지역,2,2,1,일반 토지,0,None
52,2,일반 영토지역,3,2,1,일반 토지,0,None
53,2,일반 영토지역,4,2,2,자원 토지,6,쌀
54,2,일반 영토지역,5,2,1,일반 토지,0,None
55,2,일반 영토지역,0,3,1,일반 토지,0,None
56,2,일반 영토지역,1,3,2,자원 토지,7,보리
57,2,일반 영토지역,2,3,1,일반 토지,0,None
58,2,일반 영토지역,3,3,1,일반 토지,0,None
59,2,일반 영토지역,4,3,2,자원 토지,8,밀
60,2,일반 영토지역,5,3,2,자원 토지,9,감자
61,2,일반 영토지역,0,4,1,일반 토지,0,None
62,2,일반 영토지역,1,4,1,일반 토지,0,None
63,2,일반 영토지역,2,4,2,자원 토지,10,옥수수
64,2,일반 영토지역,3,4,1,일반 토지,0,None
65,2,일반 영토지역,4,4,2,자원 토지,11,금
66,2,일반 영토지역,5,4,1,일반 토지,0,None
67,2,일반 영토지역,0,5,1,일반 토지,0,None
68,2,일반 영토지역,1,5,2,자원 토지,12,은
69,2,일반 영토지역,2,5,1,일반 토지,0,None
70,2,일반 영토지역,3,5,2,자원 토지,13,진주
71,2,일반 영토지역,4,5,2,자원 토지,14,향신료
72,2,일반 영토지역,5,5,2,자원 토지,15,차
73,3,Not Used,0,0,0,Not Used,0,None
74,3,Not Used,1,0,0,Not Used,0,None
75,3,Not Used,2,0,0,Not Used,0,None
76,3,Not Used,3,0,0,Not Used,0,None
77,3,Not Used,4,0,0,Not Used,0,None
78,3,Not Used,5,0,0,Not Used,0,None
79,3,Not Used,0,1,0,Not Used,0,None
80,3,Not Used,1,1,0,Not Used,0,None
81,3,Not Used,2,1,0,Not Used,0,None
82,3,Not Used,3,1,0,Not Used,0,None
83,3,Not Used,4,1,0,Not Used,0,None
84,3,Not Used,5,1,0,Not Used,0,None
85,3,Not Used,0,2,0,Not Used,0,None
86,3,Not Used,1,2,0,Not Used,0,None
87,3,Not Used,2,2,0,Not Used,0,None
88,3,Not Used,3,2,0,Not Used,0,None
89,3,Not Used,4,2,0,Not Used,0,None
90,3,Not Used,5,2,0,Not Used,0,None
91,3,Not Used,0,3,0,Not Used,0,None
92,3,Not Used,1,3,0,Not Used,0,None
93,3,Not Used,2,3,0,Not Used,0,None
94,3,Not Used,3,3,0,Not Used,0,None
95,3,Not Used,4,3,0,Not Used,0,None
96,3,Not Used,5,3,0,Not Used,0,None
97,3,Not Used,0,4,0,Not Used,0,None
98,3,Not Used,1,4,0,Not Used,0,None
99,3,Not Used,2,4,0,Not Used,0,None
100,3,Not Used,3,4,0,Not Used,0,None
101,3,Not Used,4,4,0,Not Used,0,None
102,3,Not Used,5,4,0,Not Used,0,None
103,3,Not Used,0,5,0,Not Used,0,None
104,3,Not Used,1,5,0,Not Used,0,None
105,3,Not Used,2,5,0,Not Used,0,None
106,3,Not Used,3,5,0,Not Used,0,None
107,3,Not Used,4,5,0,Not Used,0,None
108,3,Not Used,5,5,0,Not Used,0,None
109,4,Not Used,0,0,0,Not Used,0,None
110,4,Not Used,1,0,0,Not Used,0,None
111,4,Not Used,2,0,0,Not Used,0,None
112,4,Not Used,3,0,0,Not Used,0,None
113,4,Not Used,4,0,0,Not Used,0,None
114,4,Not Used,5,0,0,Not Used,0,None
115,4,Not Used,0,1,0,Not Used,0,None
116,4,Not Used,1,1,0,Not Used,0,None
117,4,Not Used,2,1,0,Not Used,0,None
118,4,Not Used,3,1,0,Not Used,0,None
119,4,Not Used,4,1,0,Not Used,0,None
120,4,Not Used,5,1,0,Not Used,0,None
121,4,Not Used,0,2,0,Not Used,0,None
122,4,Not Used,1,2,0,Not Used,0,None
123,4,Not Used,2,2,0,Not Used,0,None
124,4,Not Used,3,2,0,Not Used,0,None
125,4,Not Used,4,2,0,Not Used,0,None
126,4,Not Used,5,2,0,Not Used,0,None
127,4,Not Used,0,3,0,Not Used,0,None
128,4,Not Used,1,3,0,Not Used,0,None
129,4,Not Used,2,3,0,Not Used,0,None
130,4,Not Used,3,3,0,Not Used,0,None
131,4,Not Used,4,3,0,Not Used,0,None
132,4,Not Used,5,3,0,Not Used,0,None
133,4,Not Used,0,4,0,Not Used,0,None
134,4,Not Used,1,4,0,Not Used,0,None
135,4,Not Used,2,4,0,Not Used,0,None
136,4,Not Used,3,4,0,Not Used,0,None
137,4,Not Used,4,4,0,Not Used,0,None
138,4,Not Used,5,4,0,Not Used,0,None
139,4,Not Used,0,5,0,Not Used,0,None
140,4,Not Used,1,5,0,Not Used,0,None
141,4,Not Used,2,5,0,Not Used,0,None
142,4,Not Used,3,5,0,Not Used,0,None
143,4,Not Used,4,5,0,Not Used,0,None
144,4,Not Used,5,5,0,Not Used,0,None
145,5,Not Used,0,0,0,Not Used,0,None
146,5,Not Used,1,0,0,Not Used,0,None
147,5,Not Used,2,0,0,Not Used,0,None
148,5,Not Used,3,0,0,Not Used,0,None
149,5,Not Used,4,0,0,Not Used,0,None
150,5,Not Used,5,0,0,Not Used,0,None
151,5,Not Used,0,1,0,Not Used,0,None
152,5,Not Used,1,1,0,Not Used,0,None
153,5,Not Used,2,1,0,Not Used,0,None
154,5,Not Used,3,1,0,Not Used,0,None
155,5,Not Used,4,1,0,Not Used,0,None
156,5,Not Used,5,1,0,Not Used,0,None
157,5,Not Used,0,2,0,Not Used,0,None
158,5,Not Used,1,2,0,Not Used,0,None
159,5,Not Used,2,2,0,Not Used,0,None
160,5,Not Used,3,2,0,Not Used,0,None
161,5,Not Used,4,2,0,Not Used,0,None
162,5,Not Used,5,2,0,Not Used,0,None
163,5,Not Used,0,3,0,Not Used,0,None
164,5,Not Used,1,3,0,Not Used,0,None
165,5,Not Used,2,3,0,Not Used,0,None
166,5,Not Used,3,3,0,Not Used,0,None
167,5,Not Used,4,3,0,Not Used,0,None
